Acad Group,Class ID,Subject,Subject Code,Course Nbr,Section,Course Title,Day,Time,Instructor,Credits
Architecture & Urban Planning,25397,Architecture,ARCH, 515,002,Sustainable Systems,TH,1-2PM,Alcala,3.00
Architecture & Urban Planning,25398,Architecture,ARCH, 515,003,Sustainable Systems,TH,2-3PM,"Denit, Maigret",3.00
Architecture & Urban Planning,25399,Architecture,ARCH, 515,004,Sustainable Systems,TH,3-4PM,Echstenkamper,3.00
Architecture & Urban Planning,25400,Architecture,ARCH, 515,005,Sustainable Systems,TH,1-2PM,Ford,3.00
Architecture & Urban Planning,25401,Architecture,ARCH, 515,006,Sustainable Systems,TH,2-3PM,Smith,3.00
Architecture & Urban Planning,25402,Architecture,ARCH, 515,007,Sustainable Systems,TH,3-4PM,Smith,3.00
Architecture & Urban Planning,16824,Architecture,ARCH, 516,001,Arch Representation,W,5-6PM,Kulper,3.00
Architecture & Urban Planning,16825,Architecture,ARCH, 516,002,Arch Representation,W,230-5PM,Kulper,3.00
Architecture & Urban Planning,29574,Architecture,ARCH, 516,006,Arch Representation,W,6-830PM,,3.00
Architecture & Urban Planning,19983,Architecture,ARCH, 523,001,Hist Urban Form,M W,9-1030AM,Fishman,3.00
Architecture & Urban Planning,26488,Architecture,ARCH, 527,001,Integrative Systems,T,1030-1230PM,"Kennedy, Giles, Jacobs, Algargoosh, Woo",3.00
Architecture & Urban Planning,26488,Architecture,ARCH, 527,001,Integrative Systems,F,9-1030AM,,3.00
Architecture & Urban Planning,25413,Architecture,ARCH, 537,001,Fabrication,W,6-9PM,"Peller, Fure, Bradford, Aguirre",3.00
Architecture & Urban Planning,25413,Architecture,ARCH, 537,001,Fabrication,W,6-9PM,,3.00
Architecture & Urban Planning,29015,Architecture,ARCH, 543,001,20th Century Arch,W,2-5PM,Herscher,3.00
Architecture & Urban Planning,29026,Architecture,ARCH, 551,001,Spatial Data Form,W,3-6PM,McCullough,3.00
Architecture & Urban Planning,10040,Architecture,ARCH, 552,001,Arch Design V,T F,1-6PM,McMorrough,6.00
Architecture & Urban Planning,20262,Architecture,ARCH, 552,008,Arch Design V,T F,1-6PM,Unverzagt,6.00
Architecture & Urban Planning,20883,Architecture,ARCH, 552,009,Arch Design V,T F,1-6PM,Cuellar,6.00
Architecture & Urban Planning,22358,Architecture,ARCH, 552,010,Arch Design V,T F,1-6PM,Galvez,6.00
Architecture & Urban Planning,22967,Architecture,ARCH, 555,001,Bld Sy&Ener Consvtn,TH,9-12PM,Navvab,3.00
Architecture & Urban Planning,33271,Architecture,ARCH, 564,001,Adv Material Struct,M W,9-1030AM,Giles,3.00
Architecture & Urban Planning,21577,Architecture,ARCH, 583,001,Professnl Pract,M,2-5PM,"Schmidt, Hwang, Li",3.00
Architecture & Urban Planning,24105,Architecture,ARCH, 591,001,Design Computing,M,9-12PM,Wilcox,3.00
Architecture & Urban Planning,10047,Architecture,ARCH, 593,001,Tutrl Std Arch Hist,,ARR,,1.00-3.00
Architecture & Urban Planning,10048,Architecture,ARCH, 600,001,Tutor Studies Arch,,ARR,,1.00-3.00
Architecture & Urban Planning,36995,Architecture,ARCH, 600,031,Tutor Studies Arch,,ARR,McMorrough,1.00-3.00
Architecture & Urban Planning,36996,Architecture,ARCH, 600,038,Tutor Studies Arch,,ARR,Borum,1.00-3.00
Architecture & Urban Planning,36879,Architecture,ARCH, 600,045,Tutor Studies Arch,,ARR,Wilcox,1.00-3.00
Architecture & Urban Planning,37153,Architecture,ARCH, 600,046,Tutor Studies Arch,,ARR,Abrons,1.00-3.00
Architecture & Urban Planning,37446,Architecture,ARCH, 600,105,Tutor Studies Arch,,ARR,Arquero De Alarcon,1.00-3.00
Architecture & Urban Planning,36839,Architecture,ARCH, 600,115,Tutor Studies Arch,,ARR,Meier,1.00-3.00
Architecture & Urban Planning,28554,Architecture,ARCH, 603,001,Sem Arch History,W,9-12PM,Herscher,3.00
Architecture & Urban Planning,29032,Architecture,ARCH, 603,002,Sem Arch History,T,9-12PM,McMorrough,3.00
Architecture & Urban Planning,29033,Architecture,ARCH, 603,003,Sem Arch History,M,1-4PM,Wilkins,3.00
Architecture & Urban Planning,22966,Architecture,ARCH, 605,001,Env Des Simulation,M,9-12PM,Navvab,3.00
Architecture & Urban Planning,21787,Architecture,ARCH, 609,001,Disability Studies,M,4-7PM,Yergeau,1.00-3.00
Architecture & Urban Planning,10049,Architecture,ARCH, 660,001,Thesis Res&Dev Sem,TH,6-9PM,Abrons,3.00
Architecture & Urban Planning,21296,Architecture,ARCH, 660,004,Thesis Res&Dev Sem,TH,6-9PM,Pratt,3.00
Architecture & Urban Planning,21566,Architecture,ARCH, 660,005,Thesis Res&Dev Sem,TH,6-9PM,Jazairy,3.00
Architecture & Urban Planning,21567,Architecture,ARCH, 660,006,Thesis Res&Dev Sem,TH,6-9PM,Kulper,3.00
Architecture & Urban Planning,21568,Architecture,ARCH, 660,007,Thesis Res&Dev Sem,TH,12-3PM,Mankouche,3.00
Architecture & Urban Planning,21919,Architecture,ARCH, 660,008,Thesis Res&Dev Sem,TH,6-9PM,McMorrough,3.00
Architecture & Urban Planning,26649,Architecture,ARCH, 660,009,Thesis Res&Dev Sem,TH,6-9PM,McMorrough,3.00
Architecture & Urban Planning,26650,Architecture,ARCH, 660,010,Thesis Res&Dev Sem,W,2-5PM,Moddrell,3.00
Architecture & Urban Planning,26651,Architecture,ARCH, 660,011,Thesis Res&Dev Sem,TH,6-9PM,Moran,3.00
Architecture & Urban Planning,34882,Architecture,ARCH, 660,012,Thesis Res&Dev Sem,TH,6-9PM,Ng,3.00
Architecture & Urban Planning,34883,Architecture,ARCH, 660,013,Thesis Res&Dev Sem,TH,6-9PM,Adams,3.00
Architecture & Urban Planning,10050,Architecture,ARCH, 672,001,Arch Design VII,T F,1-6PM,"Graebner, Hansen",6.00
Architecture & Urban Planning,20263,Architecture,ARCH, 672,006,Arch Design VII,T F,1-6PM,Kelbaugh,6.00
Architecture & Urban Planning,20264,Architecture,ARCH, 672,007,Arch Design VII,T F,1-6PM,"Kennedy, McCullough",6.00
Architecture & Urban Planning,34885,Architecture,ARCH, 672,008,Arch Design VII,T F,1-6PM,"Rule, Velikov",6.00
Architecture & Urban Planning,34886,Architecture,ARCH, 672,009,Arch Design VII,T F,1-6PM,Vliet,6.00
Architecture & Urban Planning,34887,Architecture,ARCH, 672,010,Arch Design VII,T F,1-6PM,Yi,6.00
Architecture & Urban Planning,17545,Architecture,ARCH, 690,001,Arc Curr Pract Exper,,ARR,,1.00
Architecture & Urban Planning,25369,Architecture,ARCH, 701,001,Theories in Dig Tech,M,2-5PM,Velikov,3.00
Architecture & Urban Planning,22061,Architecture,ARCH, 702,001,Robotic Engagement,T TH,1030-12PM,Mcgee,3.00
Architecture & Urban Planning,22060,Architecture,ARCH, 703,001,Virtual Engagement,T TH,9-1030AM,del Campo,3.00
Architecture & Urban Planning,29019,Architecture,ARCH, 707,001,Material Engagement,W,2-5PM,Wilcox,3.00
Architecture & Urban Planning,25371,Architecture,ARCH, 708,001,Systems Engagement,F,9-12PM,Ahlquist,3.00
Architecture & Urban Planning,10055,Architecture,ARCH, 710,001,Tutorial Studies,,ARR,,1.00-3.00
Architecture & Urban Planning,10056,Architecture,ARCH, 719,001,MS Supervised Resear,,ARR,,1.00-3.00
Architecture & Urban Planning,29509,Architecture,ARCH, 726,001,Theories in Des Hlth,W,9-12PM,Knoblauch,3.00
Architecture & Urban Planning,29334,Architecture,ARCH, 727,001,Hlth Ind Infrastruct,TH,6-9PM,Adams,3.00
Architecture & Urban Planning,22975,Architecture,ARCH, 728,001,Hlth Civ Infrastruct,M,9-12PM,Vance,3.00
Architecture & Urban Planning,24106,Architecture,ARCH, 801,001,Collo Ethics Doc Res,T,1-3PM,Zimmerman,1.00
Architecture & Urban Planning,10057,Architecture,ARCH, 810,001,Tutorial Studies,,ARR,,1.00-6.00
Architecture & Urban Planning,37177,Architecture,ARCH, 810,024,Tutorial Studies,,ARR,Groat,1.00-6.00
Architecture & Urban Planning,22314,Architecture,ARCH, 813,001,Res&Meth Arch,M,1-4PM,Wilkins,3.00
Architecture & Urban Planning,10058,Architecture,ARCH, 819,001,Supervised Research,,ARR,,1.00-6.00
Architecture & Urban Planning,36042,Architecture,ARCH, 823,002,Sem Arch Hist&Thry,W,9-12PM,Herscher,3.00
Architecture & Urban Planning,36043,Architecture,ARCH, 823,003,Sem Arch Hist&Thry,TH,1-4PM,Fishman,3.00
Architecture & Urban Planning,36044,Architecture,ARCH, 824,001,Sem Design Studies,W,3-6PM,Groat,3.00
Architecture & Urban Planning,36045,Architecture,ARCH, 824,002,Sem Design Studies,W,9-12PM,Knoblauch,3.00
Architecture & Urban Planning,10059,Architecture,ARCH, 839,001,Research Practicum,,ARR,,1.00-4.00
Architecture & Urban Planning,16601,Architecture,ARCH, 990,001,Diss-Precand,,ARR,,1.00-8.00
Architecture & Urban Planning,36243,Architecture,ARCH, 990,007,Diss-Precand,,ARR,Fishman,1.00-8.00
Architecture & Urban Planning,36242,Architecture,ARCH, 990,011,Diss-Precand,,ARR,Knoblauch,1.00-8.00
Architecture & Urban Planning,37178,Architecture,ARCH, 990,024,Diss-Precand,,ARR,Groat,1.00-8.00
Architecture & Urban Planning,36244,Architecture,ARCH, 990,044,Diss-Precand,,ARR,Zimmerman,1.00-8.00
Architecture & Urban Planning,10060,Architecture,ARCH, 993,001,Teach Meth Gsi,,ARR,"Haar, Grengs",1.00
Architecture & Urban Planning,10061,Architecture,ARCH, 995,001,Diss-Cand,,ARR,,8.00
Architecture & Urban Planning,33535,Architecture,ARCH, 995,005,Diss-Cand,,ARR,Wineman,8.00
Architecture & Urban Planning,33536,Architecture,ARCH, 995,007,Diss-Cand,,ARR,Fishman,8.00
Architecture & Urban Planning,34767,Architecture,ARCH, 995,011,Diss-Cand,,ARR,Knoblauch,8.00
Architecture & Urban Planning,33538,Architecture,ARCH, 995,023,Diss-Cand,,ARR,Navvab,8.00
Architecture & Urban Planning,33539,Architecture,ARCH, 995,024,Diss-Cand,,ARR,Groat,8.00
Architecture & Urban Planning,33540,Architecture,ARCH, 995,029,Diss-Cand,,ARR,Giles,8.00
Architecture & Urban Planning,33541,Architecture,ARCH, 995,031,Diss-Cand,,ARR,McMorrough,8.00
Architecture & Urban Planning,33542,Architecture,ARCH, 995,033,Diss-Cand,,ARR,von Buelow,8.00
Architecture & Urban Planning,33543,Architecture,ARCH, 995,037,Diss-Cand,,ARR,Herscher,8.00
Architecture & Urban Planning,33544,Architecture,ARCH, 995,044,Diss-Cand,,ARR,Zimmerman,8.00
Architecture & Urban Planning,33537,Architecture,ARCH, 995,051,Diss-Cand,,ARR,Junghans,8.00
Architecture & Urban Planning,34892,Urban Design,UD, 712,001,UD Studio I,T F,1-6PM,Clutter,6.00
Architecture & Urban Planning,19984,Urban Design,UD, 713,001,Hist of Urban Form,M W,9-1030AM,Fishman,3.00
Architecture & Urban Planning,34893,Urban Design,UD, 714,001,Representation,TH,1-4PM,Penarroyo,3.00
Architecture & Urban Planning,26389,Urban and Regional Planning,URP, 357,001,"Arch, Sustainability",T TH,9-10AM,Kelbaugh,3.00
Architecture & Urban Planning,26390,Urban and Regional Planning,URP, 357,002,"Arch, Sustainability",W,10-11AM,Gunden,3.00
Architecture & Urban Planning,26391,Urban and Regional Planning,URP, 357,003,"Arch, Sustainability",W,10-11AM,McKee,3.00
Architecture & Urban Planning,26392,Urban and Regional Planning,URP, 357,004,"Arch, Sustainability",W,10-11AM,Erfani,3.00
Architecture & Urban Planning,26393,Urban and Regional Planning,URP, 357,005,"Arch, Sustainability",W,12-1PM,Munoz Abarca,3.00
Architecture & Urban Planning,26394,Urban and Regional Planning,URP, 357,006,"Arch, Sustainability",W,12-1PM,Erfani,3.00
Architecture & Urban Planning,26395,Urban and Regional Planning,URP, 357,007,"Arch, Sustainability",W,12-1PM,Kim,3.00
Architecture & Urban Planning,26396,Urban and Regional Planning,URP, 357,008,"Arch, Sustainability",W,1-2PM,Westerfield,3.00
Architecture & Urban Planning,26397,Urban and Regional Planning,URP, 357,009,"Arch, Sustainability",W,1-2PM,Infanger,3.00
Architecture & Urban Planning,26398,Urban and Regional Planning,URP, 357,010,"Arch, Sustainability",W,1-2PM,Kim,3.00
Architecture & Urban Planning,29632,Urban and Regional Planning,URP, 357,011,"Arch, Sustainability",W,9-10AM,"Morris, Kelbaugh",3.00
Architecture & Urban Planning,10062,Urban and Regional Planning,URP, 423,001,Int U P&Env,T TH,10-11AM,D'Anieri,3.00
Architecture & Urban Planning,10063,Urban and Regional Planning,URP, 423,002,Int U P&Env,TH,12-1PM,Wunsch,3.00
Architecture & Urban Planning,10064,Urban and Regional Planning,URP, 423,003,Int U P&Env,F,11-12PM,Swinton,3.00
Architecture & Urban Planning,10065,Urban and Regional Planning,URP, 423,004,Int U P&Env,TH,12-1PM,Sanifu,3.00
Architecture & Urban Planning,25115,Urban and Regional Planning,URP, 427,001,Sustainable Food Sys,T TH,1-230PM,"Blesh, Jones, Hoey",3.00
Architecture & Urban Planning,22145,Urban and Regional Planning,URP, 480,001,Directed Study,,ARR,,1.00-4.00
Architecture & Urban Planning,26361,Urban and Regional Planning,URP, 500,001,Plng Thry Policy,T TH,9-1030AM,"Campbell, Steiff, Taru",3.00
Architecture & Urban Planning,28759,Urban and Regional Planning,URP, 501,001,Plng Thry Design,T TH,9-1030AM,"Kinder, Steiff, Schaeffer",3.00
Architecture & Urban Planning,10066,Urban and Regional Planning,URP, 504,001,Intro to Stats UP,T TH,1030-12PM,"Hoelter, Borsellino",3.00
Architecture & Urban Planning,29005,Urban and Regional Planning,URP, 508,001,Spat Thnkg & Env Sys,M,6-9PM,"Larsen, Solomon",3.00
Architecture & Urban Planning,10067,Urban and Regional Planning,URP, 509,001,Public Economics,M W,4-530PM,"Levine, Singer",2.00-3.00
Architecture & Urban Planning,22742,Urban and Regional Planning,URP, 510,001,Fiscal Planning&Mgt,M W,230-4PM,"Deng, Cuenca",2.00-3.00
Architecture & Urban Planning,22719,Urban and Regional Planning,URP, 520,001,Intro to GIS,T TH,4-5PM,"Bedogne, Chen",3.00
Architecture & Urban Planning,22724,Urban and Regional Planning,URP, 520,002,Intro to GIS,F,830-11AM,Chen,3.00
Architecture & Urban Planning,22726,Urban and Regional Planning,URP, 520,003,Intro to GIS,F,1-330PM,Chen,3.00
Architecture & Urban Planning,22728,Urban and Regional Planning,URP, 520,004,Intro to GIS,TH,530-8PM,Chen,3.00
Architecture & Urban Planning,32286,Urban and Regional Planning,URP, 522,001,Collaborative Plng,T TH,1-230PM,Goodspeed,3.00
Architecture & Urban Planning,32288,Urban and Regional Planning,URP, 526,001,Scenario Planning,T TH,4-530PM,Goodspeed,3.00
Architecture & Urban Planning,25116,Urban and Regional Planning,URP, 527,001,Sustainable Food Sys,T TH,1-230PM,"Blesh, Jones, Hoey",3.00
Architecture & Urban Planning,19987,Urban and Regional Planning,URP, 529,001,Hist Urban Form,M W,9-1030AM,Fishman,3.00
Architecture & Urban Planning,32693,Urban and Regional Planning,URP, 542,001,Env Pln:Iss&Concept,T TH,230-4PM,Pimentel Walker,3.00
Architecture & Urban Planning,24902,Urban and Regional Planning,URP, 544,001,Behavior&Environmt,M W,1-230PM,De Young,3.00
Architecture & Urban Planning,24950,Urban and Regional Planning,URP, 544,002,Behavior&Environmt,TH,1-2PM,Lasoff-Santos,3.00
Architecture & Urban Planning,24952,Urban and Regional Planning,URP, 544,003,Behavior&Environmt,F,12-1PM,Lasoff-Santos,3.00
Architecture & Urban Planning,20439,Urban and Regional Planning,URP, 551,001,Phys Plan Workshop,T TH,9-1030AM,Fontaine,3.00
Architecture & Urban Planning,29043,Urban and Regional Planning,URP, 552,001,Healthy Cities,T TH,230-4PM,Kinder,3.00
Architecture & Urban Planning,32285,Urban and Regional Planning,URP, 560,001,Trans&Lnd Pl,M W,1030-12PM,Levine,3.00
Architecture & Urban Planning,32691,Urban and Regional Planning,URP, 570,001,Global & Comp Plng,M W,9-1030AM,Hoey,3.00
Architecture & Urban Planning,28775,Urban and Regional Planning,URP, 571,001,Comp Urban Policy,W,6-9PM,Murray,3.00
Architecture & Urban Planning,32686,Urban and Regional Planning,URP, 572,001,Comp Hsng&Prop Pol,T TH,1030-12PM,Pimentel Walker,3.00
Architecture & Urban Planning,26360,Urban and Regional Planning,URP, 581,001,Hsg Policy&Econ,M W,1030-12PM,Deng,3.00
Architecture & Urban Planning,22743,Urban and Regional Planning,URP, 582,001,Neighborhood Plan,M W,9-1030AM,Etienne,3.00
Architecture & Urban Planning,26364,Urban and Regional Planning,URP, 583,001,"Race,Diff&Social Jus",T,6-9PM,Etienne,3.00
Architecture & Urban Planning,19454,Urban and Regional Planning,URP, 586,001,Conc&Tech Comm,F,9-12PM,Gant,3.00
Architecture & Urban Planning,32181,Urban and Regional Planning,URP, 587,001,Plan Org&Com Chg,TH,2-5PM,Kattari,3.00
Architecture & Urban Planning,10068,Urban and Regional Planning,URP, 592,001,Real Est Ess,M,7-10PM,Allen,3.00
Architecture & Urban Planning,10069,Urban and Regional Planning,URP, 600,001,Expanded Horizons,,ARR,Dueweke,1.00
Architecture & Urban Planning,16293,Urban and Regional Planning,URP, 601,001,Thesis,,ARR,,3.00-6.00
Architecture & Urban Planning,37452,Urban and Regional Planning,URP, 601,105,Thesis,,ARR,Arquero De Alarcon,3.00-6.00
Architecture & Urban Planning,19766,Urban and Regional Planning,URP, 602,001,Prof Project,,ARR,,3.00-6.00
